[01/06/23 18:16:34] [INFO] received Windows console close event; shutting log-core down
[01/06/23 21:46:53] [INFO] received Windows console close event; shutting log-core down
[01/06/23 21:56:36] [INFO] received Windows console close event; shutting log-core down
[01/07/23 00:00:01] [INFO] received Windows console close event; shutting log-core down
[01/07/23 00:05:44] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:29:47] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:30:05] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:31:54] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:33:23] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:37:52] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:43:48] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:46:54] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:47:41] [INFO] received Windows console close event; shutting log-core down
[01/07/23 16:47:57] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01/07/23 17:17:30] [INFO] received Windows console close event; shutting log-core down
[01/07/23 17:19:14] [INFO] received Windows console close event; shutting log-core down
[01/07/23 19:42:40] [INFO] received Windows console close event; shutting log-core down
[01/07/23 19:43:16] [INFO] received Windows console close event; shutting log-core down
[01/07/23 19:43:16] [INFO] received Windows console close event; shutting log-core down
[01/07/23 19:43:26] [INFO] received Windows console close event; shutting log-core down
[01/07/23 19:45:25] [INFO] received Windows console close event; shutting log-core down
[01/07/23 19:46:20] [INFO] received Windows console close event; shutting log-core down
[01/07/23 19:47:41] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:20:50] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:21:05] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:21:48] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:22:37] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:23:59] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:26:59] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:26:59] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:27:00] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:27:15] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:29:19] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:36:01] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:36:45] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:56:14] [INFO] received Windows console close event; shutting log-core down
[01/08/23 20:59:04] [INFO] received Windows console close event; shutting log-core down
[01/10/23 14:10:26] [INFO] received Windows console close event; shutting log-core down
[01/10/23 14:14:07] [INFO] received Windows console close event; shutting log-core down
[01/10/23 14:14:07] [INFO] received Windows console close event; shutting log-core down
[01/10/23 14:14:53] [INFO] received Windows console close event; shutting log-core down
[01/10/23 14:15:09] [INFO] received Windows console close event; shutting log-core down
[01/10/23 15:46:48] [INFO] received Windows console close event; shutting log-core down
[01/10/23 15:46:49] [INFO] received Windows console close event; shutting log-core down
[01/10/23 18:22:37] [INFO] received Windows console close event; shutting log-core down
[01/10/23 18:22:38] [INFO] received Windows console close event; shutting log-core down
[01/10/23 18:22:39] [INFO] received Windows console close event; shutting log-core down
[01/10/23 18:22:40] [INFO] received Windows console close event; shutting log-core down
[01/10/23 18:22:40] [INFO] received Windows console close event; shutting log-core down
[01/10/23 18:22:41] [INFO] received Windows console close event; shutting log-core down
[01/11/23 15:28:21] [INFO] received Windows console close event; shutting log-core down
[01/11/23 17:29:25] [INFO] received Windows console close event; shutting log-core down
[01/11/23 17:29:26] [INFO] received Windows console close event; shutting log-core down
[01/12/23 13:42:35] [INFO] received Windows console close event; shutting log-core down
